Date,Adj Close,Close,High,Low,Open,Volume
2020-12-31,10447.6015625,11072.2998046875,11323.0,10960.0,11300.0,13284
2021-01-01,10391.0830078125,11012.400390625,11248.9501953125,10950.0,11167.0,10688
2021-01-04,10377.6845703125,10998.2001953125,11175.0,10960.0,11175.0,15091
2021-01-05,10480.2978515625,11106.9501953125,11125.0,10965.0,11000.0,7814
2021-01-06,10602.5400390625,11236.5,11266.0498046875,11042.0,11042.0,9145
2021-01-07,10595.744140625,11229.2998046875,11350.0,11202.900390625,11290.0,5398
2021-01-08,10621.9296875,11257.0498046875,11320.0,11089.5498046875,11291.400390625,4725
2021-01-11,10621.220703125,11256.2998046875,11350.0,11130.0,11260.0,12010
2021-01-12,10677.4111328125,11315.849609375,11350.0,11201.0498046875,11201.0498046875,6451
2021-01-13,10701.0,11340.849609375,11375.5498046875,11300.0,11358.0,5353
2021-01-14,10716.6162109375,11357.400390625,11399.0,11234.349609375,11347.650390625,4491
2021-01-15,10729.025390625,11370.5498046875,11484.900390625,11331.0,11399.0,14205
2021-01-18,10677.6005859375,11316.0498046875,11426.400390625,11235.400390625,11330.0,9900
2021-01-19,10733.9326171875,11375.75,11449.0,11250.0,11250.0,5458
2021-01-20,10709.634765625,11350.0,11434.4501953125,11262.0,11390.0,4192
2021-01-21,10595.3193359375,11228.849609375,11400.0,11152.849609375,11310.0,9045
2021-01-22,10652.5498046875,11289.5,11400.0,11250.0498046875,11360.0,3854
2021-01-25,10637.876953125,11273.9501953125,11389.9501953125,11139.400390625,11340.400390625,3022
2021-01-27,10595.6982421875,11229.25,11348.9501953125,11151.75,11348.9501953125,5923
2021-01-28,10628.203125,11263.7001953125,11350.099609375,11196.099609375,11219.9501953125,6986
2021-01-29,10668.2587890625,11306.150390625,11370.0,11202.099609375,11320.400390625,3926
2021-02-01,10658.8232421875,11296.150390625,11350.5498046875,11150.2001953125,11307.0,3877
2021-02-02,10493.3193359375,11120.75,11354.0498046875,11100.0,11289.9501953125,20784
2021-02-03,10718.9296875,11359.849609375,11443.9501953125,11100.0,11211.849609375,9983
2021-02-04,11599.2900390625,12292.849609375,12600.0,11800.0,12319.849609375,131452
2021-02-05,11659.4912109375,12356.650390625,12454.4501953125,12100.0,12401.0,23783
2021-02-08,11991.771484375,12708.7998046875,12799.0,12355.650390625,12356.650390625,15820
2021-02-09,12042.8662109375,12762.9501953125,12985.400390625,12735.0,12800.0,39465
2021-02-10,11905.84375,12533.7001953125,12885.25,12501.0,12780.0,7296
2021-02-11,12370.2041015625,13022.5498046875,13173.25,12600.0,12600.0,34527
2021-02-12,12780.470703125,13454.4501953125,13600.0,13000.0,13180.0,19946
2021-02-15,12852.091796875,13529.849609375,13799.9501953125,13450.400390625,13455.0,11080
2021-02-16,12452.6552734375,13109.349609375,13800.0,13006.5498046875,13530.0,9423
2021-02-17,12561.8017578125,13224.25,13478.349609375,12855.099609375,13323.0,11865
2021-02-18,12569.4951171875,13232.349609375,13499.0,13140.0,13398.0,6951
2021-02-19,12279.1572265625,12926.7001953125,13348.75,12850.0,13232.0,11608
2021-02-22,12397.46875,13051.25,13150.0,12850.25,12980.0,8869
2021-02-23,12326.984375,12977.0498046875,13139.7998046875,12870.0,13139.7998046875,7409
2021-02-24,12333.5390625,12983.9501953125,13120.0,12800.0,13119.099609375,1776
2021-02-25,12375.9033203125,13028.5498046875,13144.150390625,12868.099609375,13023.9501953125,5923
2021-02-26,12271.9375,12919.099609375,13100.0,12851.5498046875,13028.0,4744
2021-03-01,12364.6953125,13016.75,13096.7998046875,12946.75,13096.7998046875,4084
2021-03-02,12434.98828125,13090.75,13149.0,13021.349609375,13070.599609375,7291
2021-03-03,12326.7470703125,12976.7998046875,13105.0,12902.0,13060.0,6903
2021-03-04,12378.232421875,13031.0,13136.9501953125,12958.650390625,13049.0,3957
2021-03-05,12355.3857421875,13006.9501953125,13063.0498046875,12970.0498046875,13031.0,2025
2021-03-08,12354.3408203125,13005.849609375,13119.849609375,12924.349609375,13055.7001953125,1939
2021-03-09,12261.1083984375,12907.7001953125,13059.849609375,12750.099609375,13005.849609375,3308
2021-03-10,12374.2880859375,13026.849609375,13100.0,12936.2001953125,13005.150390625,2192
2021-03-12,12298.486328125,12947.0498046875,13149.0,12815.150390625,13026.849609375,4577
2021-03-15,12342.7041015625,12993.599609375,12999.9501953125,12889.5,12992.9501953125,1792
2021-03-16,12281.1513671875,12928.7998046875,13032.75,12889.5,12993.599609375,6341
2021-03-17,12225.439453125,12870.150390625,13000.0,12835.0498046875,12928.7998046875,1890
2021-03-18,11971.0068359375,12602.2998046875,12940.0,12425.25,12860.0,12610
2021-03-19,12291.552734375,12939.75,13020.0,12348.900390625,12425.0,9792
2021-03-22,12366.78515625,13018.9501953125,13190.0,12821.0,12821.0,6132
2021-03-23,12321.6640625,12971.4501953125,13152.099609375,12888.0,13100.0,3207
2021-03-24,12347.833984375,12999.0,13072.75,12932.0,12961.4501953125,4077
2021-03-25,12090.6953125,12728.2998046875,13030.0,12501.849609375,13000.0,4518
2021-03-26,12100.3359375,12738.4501953125,13000.0,12601.0,12915.900390625,2827
2021-03-30,11762.78515625,12383.099609375,12925.0,12110.0,12610.2001953125,17584
2021-03-31,12043.814453125,12678.9501953125,12750.0,12379.099609375,12483.7001953125,9322
2021-04-01,11937.99609375,12567.5498046875,12796.0498046875,12425.0,12620.0,7404
2021-04-05,11905.7958984375,12533.650390625,12577.2998046875,12251.25,12577.25,3634
2021-04-06,11987.771484375,12619.9501953125,12690.0,12432.0498046875,12578.0,4047
2021-04-07,12250.8974609375,12896.9501953125,12930.0,12537.650390625,12619.9501953125,3821
2021-04-08,12532.6396484375,13193.5498046875,13325.0,12661.4501953125,12890.0,5373
2021-04-09,12598.27734375,13262.650390625,13302.0,13000.599609375,13179.0,2751
2021-04-12,12519.482421875,13179.7001953125,13323.900390625,12901.0,13299.0,5728
2021-04-13,12862.3994140625,13540.7001953125,13649.25,13075.0,13153.75,9205
2021-04-15,12930.4130859375,13612.2998046875,13715.0,13410.0,13699.9501953125,5797
2021-04-16,13258.9384765625,13958.150390625,14122.0,13580.150390625,13612.0,5329
2021-04-19,12985.173828125,13669.9501953125,13940.0,13501.0,13501.0,3089
2021-04-20,12941.857421875,13624.349609375,13789.9501953125,13560.0,13670.0,5471
